turn,mode,novelty,nodes_added_to_graph,edges_added_to_graph,total_nodes_in_graph,total_edges_in_graph,native_node_precision,native_node_recall,native_edge_precision,native_edge_recall,native_degree_weighted_node_coverage,evaluation_node_precision,evaluation_node_recall,evaluation_edge_pair_precision,evaluation_edge_pair_recall,evaluation_node_tsc_rank,evaluation_edge_tsc_rank,evaluation_node_autc_rank
1,seed,0.0,62.0,63.0,62.0,63.0,1.0,0.05263157894736842,1.0,0.02068286277084701,0.217725052337753,1.0,0.05263157894736842,1.0,0.02068286277084701,0.07789925376450461,0.021243894331919384,0.12092311620260184
2,explore,0.8775510204081632,23.0,28.0,85.0,91.0,1.0,0.07215619694397284,1.0,0.029875246224556794,0.244417306350314,1.0,0.07215619694397284,1.0,0.029875246224556794,0.10093805267788612,0.030718725228988265,0.1487673626868815
3,exploit,0.5769230769230769,14.0,31.0,99.0,122.0,0.98989898989899,0.0831918505942275,0.9508196721311475,0.03808273145108339,0.3058269364968597,0.98989898989899,0.0831918505942275,0.9508196721311475,0.03808273145108339,0.11583461952061974,0.03954388221444027,0.1779940052571105
4,explore,0.896551724137931,21.0,10.0,120.0,132.0,0.9916666666666667,0.10101867572156197,0.9545454545454546,0.04136572554169402,0.3599092812281926,0.9916666666666667,0.10101867572156197,0.9545454545454546,0.04136572554169402,0.14339482345413093,0.04300667315984477,0.2190413035906722
5,exploit,0.01923076923076925,1.0,0.0,121.0,132.0,0.9917355371900827,0.10186757215619695,0.9545454545454546,0.04136572554169402,0.36025819958129796,0.9917355371900827,0.10186757215619695,0.9545454545454546,0.04136572554169402,0.14403248598031138,0.04300667315984477,0.21950624536616192
6,explore,0.5,9.0,2.0,130.0,134.0,0.9923076923076922,0.10950764006791172,0.9552238805970148,0.04202232435981615,0.3633984647592463,0.9923076923076923,0.10950764006791172,0.9552238805970149,0.04202232435981615,0.149705534703357,0.043715713562328215,0.2235726532018713
7,exploit,0.38181818181818183,9.0,14.0,139.0,148.0,0.9928057553956835,0.11714770797962648,0.9594594594594593,0.046618516086671044,0.369155617585485,0.9928057553956835,0.11714770797962648,0.9594594594594594,0.046618516086671044,0.1578870189387989,0.0484719004205711,0.2315207809026478
8,exploit,0.6071428571428571,4.0,31.0,143.0,179.0,0.993006993006993,0.12054329371816638,0.8491620111731844,0.049901510177281685,0.3702023726448011,0.993006993006993,0.12054329371816638,0.8491620111731844,0.04990151017728168,0.15952746318443156,0.05199329479140684,0.23256409279945262
9,exploit,0.1470588235294118,1.0,4.0,144.0,183.0,0.9930555555555556,0.12139219015280135,0.8524590163934426,0.051214707813525925,0.37055129099790646,0.9930555555555556,0.12139219015280135,0.8524590163934426,0.05121470781352593,0.160165125710612,0.053361623729991974,0.23305689049420703
10,exploit,0.05555555555555558,1.0,2.0,145.0,185.0,0.993103448275862,0.12224108658743633,0.854054054054054,0.051871306631648066,0.3707257501744592,0.993103448275862,0.12224108658743633,0.8540540540540541,0.051871306631648066,0.16041545083703362,0.05406517006134123,0.2331150210689149
11,exploit,0.6703296703296704,10.0,53.0,155.0,238.0,0.9870967741935484,0.1298811544991511,0.7436974789915967,0.058108995403808275,0.37630844382414513,0.9870967741935484,0.1298811544991511,0.7436974789915967,0.058108995403808275,0.16898353186535148,0.06053657540505793,0.24064736914576842
12,explore,0.7727272727272727,4.0,49.0,159.0,287.0,0.9874213836477987,0.133276740237691,0.6829268292682927,0.06434668417596848,0.3832868108862526,0.9874213836477987,0.133276740237691,0.6829268292682927,0.06434668417596848,0.17460844114100832,0.06715738896100693,0.24727439976930576
13,exploit,0.7525773195876289,38.0,61.0,197.0,348.0,0.9847715736040609,0.16468590831918506,0.7385057471264368,0.08437294812869336,0.4181786461967899,0.9847715736040609,0.16468590831918506,0.7385057471264368,0.08437294812869336,0.2075684098577735,0.08832833423731135,0.28311969992220104
14,exploit,0.7692307692307693,25.0,5.0,222.0,353.0,0.9459459459459459,0.1782682512733446,0.7422096317280453,0.08601444517399867,0.43824145150034893,0.9459459459459459,0.17826825127334464,0.7422096317280453,0.08601444517399869,0.22740704643012635,0.09009452549386342,0.3050838727915491
15,exploit,0.7166666666666667,15.0,33.0,237.0,386.0,0.9451476793248945,0.19015280135823429,0.7642487046632125,0.09684832567301377,0.45062805303558967,0.9451476793248945,0.19015280135823429,0.7642487046632125,0.09684832567301378,0.24272353737546656,0.10138423122225666,0.3208847390137287
16,exploit,0.5833333333333334,49.0,17.0,286.0,403.0,0.8146853146853147,0.19779286926994907,0.7741935483870968,0.10242941562705185,0.46563154221912073,0.8146853146853147,0.19779286926994907,0.7741935483870968,0.10242941562705186,0.2523292086467331,0.10702282694988371,0.3334385911401963
17,exploit,0.22058823529411764,3.0,18.0,289.0,421.0,0.8166089965397922,0.200339558573854,0.7600950118764845,0.10505581089954039,0.4666782972784368,0.8166089965397924,0.200339558573854,0.7600950118764845,0.10505581089954039,0.25437994910549455,0.10984403247728557,0.33484300923529564
18,exploit,0.546875,18.0,25.0,307.0,446.0,0.8241042345276874,0.21477079796264856,0.7735426008968609,0.11326329612606698,0.48639218422889047,0.8241042345276873,0.21477079796264856,0.773542600896861,0.11326329612606698,0.27201676141497355,0.11820570351733455,0.3572536943944625
19,exploit,0.12359550561797751,3.0,15.0,310.0,461.0,0.8258064516129032,0.21731748726655348,0.7613882863340564,0.11523309258043335,0.48831123517096997,0.8258064516129032,0.21731748726655348,0.7613882863340564,0.11523309258043335,0.27488068823116374,0.12021668616553181,0.35937224673990564
20,explore,0.7924528301886793,18.0,28.0,328.0,489.0,0.826219512195122,0.2300509337860781,0.7750511247443764,0.12442547603414314,0.5143056524773203,0.8262195121951219,0.2300509337860781,0.7750511247443763,0.12442547603414314,0.2904245454895554,0.12987114266607097,0.38089153047011837
21,exploit,0.7105263157894737,20.0,7.0,348.0,496.0,0.8074712643678161,0.23853989813242785,0.7782258064516128,0.12672357189757058,0.5280879274249826,0.8074712643678161,0.23853989813242785,0.7782258064516129,0.12672357189757058,0.302826748350668,0.1323369123137087,0.39501630312397445
22,exploit,0.8548387096774194,18.0,39.0,366.0,535.0,0.8169398907103826,0.2538200339558574,0.7943925233644858,0.13952724885095208,0.5399511514305653,0.8169398907103825,0.2538200339558574,0.794392523364486,0.13952724885095208,0.31925563083413006,0.14533939471818275,0.40937932199694427
23,exploit,0.43137254901960786,6.0,16.0,372.0,551.0,0.8198924731182796,0.25891341256366723,0.8003629764065336,0.1447800393959291,0.5437892533147244,0.8198924731182796,0.25891341256366723,0.8003629764065335,0.1447800393959291,0.32517159861476824,0.15098272145150873,0.4150473150316605
24,exploit,0.10638297872340424,0.0,11.0,372.0,562.0,0.8198924731182796,0.25891341256366723,0.7953736654804271,0.14674983585029547,0.5437892533147244,0.8198924731182796,0.25891341256366723,0.7953736654804271,0.14674983585029547,0.32517159861476824,0.15309152908851179,0.4150473150316605
25,exploit,0.573170731707317,29.0,40.0,401.0,602.0,0.8329177057356608,0.2835314091680815,0.8089700996677742,0.159881812212738,0.5636775994417307,0.8329177057356608,0.2835314091680815,0.8089700996677741,0.159881812212738,0.3531243241962184,0.1666724150929454,0.43988535948682533
26,exploit,0.8181818181818182,2.0,7.0,403.0,609.0,0.8337468982630273,0.28522920203735147,0.8111658456486043,0.16217990807616547,0.5647243545010467,0.8337468982630273,0.28522920203735147,0.8111658456486043,0.16217990807616547,0.3548514194471509,0.1689602378810705,0.4411118204013501
27,exploit,0.12195121951219512,4.0,1.0,407.0,610.0,0.8353808353808354,0.28862478777589134,0.8114754098360656,0.16250820748522654,0.5657711095603629,0.8353808353808354,0.28862478777589134,0.8114754098360656,0.1625082074852265,0.35732652764981643,0.16931353717761574,0.4429559854848434
28,exploit,0.061224489795918366,2.0,1.0,409.0,611.0,0.8361858190709046,0.2903225806451613,0.8117839607201308,0.16283650689428758,0.5661200279134683,0.8361858190709046,0.2903225806451613,0.8117839607201309,0.16283650689428758,0.3578271779026596,0.1696430288325795,0.4433431356184402
29,explore,0.52,21.0,29.0,430.0,640.0,0.8441860465116278,0.3081494057724958,0.8203125,0.17235718975705844,0.5809490579204466,0.8441860465116279,0.3081494057724958,0.8203125,0.17235718975705844,0.3764349258356256,0.17841461862447322,0.46159204023148737
30,exploit,0.7014925373134329,31.0,66.0,461.0,706.0,0.8546637744034707,0.33446519524617996,0.8371104815864022,0.19402495075508863,0.5978715980460573,0.8546637744034707,0.33446519524617996,0.8371104815864022,0.19402495075508863,0.4040432692165256,0.20027903776838094,0.4846661546129721
31,exploit,0.2857142857142857,7.0,13.0,468.0,719.0,0.8547008547008547,0.3395585738539898,0.8400556328233658,0.19829284307288247,0.5997906489881367,0.8547008547008547,0.3395585738539898,0.8400556328233658,0.19829284307288247,0.40810105432795724,0.20434175075902059,0.4874747886141431
32,exploit,0.2647058823529412,5.0,7.0,473.0,726.0,0.8562367864693446,0.3438030560271647,0.8415977961432507,0.20059093893630991,0.6018841591067691,0.8562367864693446,0.3438030560271647,0.8415977961432507,0.20059093893630991,0.41198998107008683,0.2066924501390147,0.4900408172351892
