anchor,anchor_diagnostics_anchor_in_candidate_nodes,anchor_diagnostics_anchor_in_response_text,anchor_diagnostics_anchor_incident_candidate_edges,anchor_diagnostics_anchor_required,anchor_diagnostics_anchor_response_adherent,arm_decision_admission,arm_decision_eligible_arm_count,arm_decision_epoch_id,arm_decision_epoch_refreshed,arm_decision_policy,arm_decision_reason,arm_decision_selected_arm,batch_candidate_edges,batch_candidate_nodes,batch_count_novelty,batch_historical_edge_mass,batch_historical_edge_mass_noisy_or,batch_historical_node_mass,batch_htsn_combined,batch_htsn_combined_noisy_or,batch_htsn_edge,batch_htsn_edge_noisy_or,batch_htsn_node,batch_new_edges,batch_new_nodes,batch_retrospective_edge_mass,batch_retrospective_edge_mass_noisy_or,batch_retrospective_gain,batch_retrospective_node_mass,batch_rtsn_combined,batch_rtsn_combined_noisy_or,batch_y_ha,decision_reason,effective_fewa_reward,evaluation_degree_weighted_node_coverage,evaluation_edge_pair_precision,evaluation_edge_pair_recall,evaluation_edge_tsc_noisy_or_rank,evaluation_edge_tsc_rank,evaluation_edge_tsc_raw,evaluation_matched_directed_edge_pairs,evaluation_matched_nodes,evaluation_node_autc_rank,evaluation_node_precision,evaluation_node_recall,evaluation_node_tsc_burt_balanced,evaluation_node_tsc_burt_effective,evaluation_node_tsc_collision_diversity,evaluation_node_tsc_degree,evaluation_node_tsc_rank,evaluation_node_tsc_raw,evaluation_pagerank_weighted_node_coverage,evaluation_recovered_edge_pairs,evaluation_recovered_nodes,evaluation_spearman_bnrr_online_vs_truth,evaluation_spearman_matched_nodes,evaluation_spearman_sensitivity_online_vs_truth,evaluation_top10_sensitive_nodes_recovered,evaluation_top20_sensitive_nodes_recovered,evaluation_top50_sensitive_nodes_recovered,evaluation_top5_sensitive_nodes_recovered,evaluation_undirected_edge_pair_precision,evaluation_undirected_edge_pair_recall,gain_graph,gain_meaningful,gain_relation,gain_sensitive,mode,mode_decision_available_arm_count,mode_decision_effective_htsn_threshold,mode_decision_epsilon,mode_decision_explore_suppressed,mode_decision_mode,mode_decision_reason,mode_decision_recent_explore_success_rate,mode_decision_recent_htsn,parser_candidate_edges,parser_candidate_nodes_with_endpoints,parser_citation_rejected_compact_edges,parser_compact_format_edges,parser_graph_filter_status,parser_graphrag_query_attempts,parser_kept_edges,parser_kept_nodes_explicit,parser_raw_edges,parser_raw_nodes,parser_response_characters,parser_source,query_generation_anchor_present,query_generation_anchor_rejected_queries,query_generation_anchor_required,query_generation_attempts,query_generation_domain_query_signature,query_generation_fallback_reason,query_generation_generation_error_attempts,query_generation_last_generation_error,query_generation_max_similarity,query_generation_rejected_similar_queries,query_generation_similarity_rejected_queries,query_generation_source,raw_batch_reward,reward,reward_attribution_warning,turn
,,,0,False,,,0,,,topology_pl_fewa,mode_explore,,33,59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,59,31.108108108108123,31.92622352081811,0.5392185663924794,18.499999999999986,0.5392185663924794,0.5481111252262837,0.0,seed_turn,,0.15073272854152128,1.0,0.010833880499015102,0.010974488526810239,0.010820878324943148,0.00823908451852047,33,48,0.09319814935395038,0.8135593220338984,0.04074702886247878,0.1606306013390491,0.16938816393065517,0.09600757300355774,0.15073272854152128,0.06119930916189947,0.12239262576549594,0.09261029069379914,33,59,0.2973438770833155,48,0.2973438770833155,4,8,13,2,1.0,0.010816468946266573,True,True,True,False,explore,0,0.15,0.3,False,explore,seed_turn,,,33,59,0,0,disabled,0,33,32,33,32,49122,shared_seed_replay,,0,False,1,and care concrete corpus diagnostic diseases drugs explain factors identify in major medical organizations relationships risk symptoms tests the their treatments,none,0,,0.0,0,0,seed,0.0,0.0,False,1
CDC,True,True,5,True,True,,37,1,True,topology_pl_fewa,globally_unpulled_topology_prior,CDC,29,36,0.8,10.418918918918916,12.423301680058433,6.054054054054054,0.25343035343035336,0.28426701129403825,0.3592730661696178,0.4283897131054632,0.16816816816816818,25,27,22.37931034482759,23.558858501783583,0.21367839988529652,7.982758620689651,0.4671087533156499,0.48525564803804977,16.47297297297297,fewa(0.2940),0.03217377533783783,0.21004884856943476,1.0,0.019041365725541694,0.019151081555874222,0.018849852835200107,0.01614147432917139,58,74,0.13473963468019515,0.8604651162790697,0.06281833616298811,0.22279460648366786,0.23391277326355042,0.13707441517778557,0.21004884856943476,0.09165898904198036,0.1722919326411798,0.12804548696438153,58,86,0.2602266204811255,74,0.2602266204811255,5,10,18,3,1.0,0.01779483600837404,True,True,True,True,exploit,37,0.147,0.294,False,exploit,fewa(0.2940),,,29,36,0,0,disabled,1,29,36,29,36,39309,live,True,0,True,1,cdc diseases does monitor or the track what,none,0,,0.07407407407407407,0,0,fixed_anchor_dynamic,0.03217377533783783,0.03217377533783783,False,2
,,,0,False,,,58,,,topology_pl_fewa,mode_explore,,42,49,0.5934065934065934,10.982758620689651,12.124554102259212,2.8275862068965516,0.15176203107237585,0.16430923416654686,0.26149425287356315,0.2886798595776003,0.057705840957072485,29,25,25.20348837209302,26.921680638182796,0.264478704935802,12.674418604651164,0.41624073600817785,0.43512196970147204,13.810344827586203,epsilon_sample(0.2881),,0.2568039078855548,1.0,0.02856204858831254,0.028110456399833453,0.027376803848535733,0.02485459043224483,87,99,0.1685295426009141,0.8918918918918919,0.08404074702886248,0.27183621441548034,0.28521057924292303,0.1732690859338167,0.2568039078855548,0.11970799351820828,0.21388895371152036,0.17141241618280514,87,111,0.12013559652463764,99,0.12013559652463764,7,12,21,4,1.0,0.026866713189113746,True,True,True,True,explore,58,0.14406,0.28812,False,explore,epsilon_sample(0.2881),,0.25343035343035336,42,49,0,0,disabled,1,42,19,42,19,22223,live,,0,False,1,across age and are common different diseases groups immunization pediatric prevent recommended schedules the they vaccines what,none,0,,0.13636363636363635,0,0,agea_dynamic,0.026973329741379302,0.026973329741379302,False,3
,,,0,False,,,86,,,topology_pl_fewa,mode_explore,,13,28,0.7560975609756098,5.3023255813953485,5.630509734991888,2.325581395348837,0.18604651162790697,0.19405100317904206,0.40787119856887294,0.43311613346091443,0.0830564784053156,13,18,11.560606060606062,12.334328129782676,0.24620281086531803,6.161616161616163,0.432249322493225,0.4511205924731424,7.627906976744185,epsilon_sample(0.2824),,0.28157711095603627,1.0,0.03282994090610637,0.03239407477752521,0.03163928737013765,0.028874845004273814,100,117,0.18934044522399035,0.9069767441860465,0.09932088285229201,0.2982218156133274,0.31292130087656983,0.19426536068193911,0.28157711095603627,0.136936731435207,0.23642537890135512,0.19039101047238235,100,129,0.21279040971930882,117,0.21279040971930882,8,13,24,4,1.0,0.0314026517794836,True,True,True,True,explore,86,0.1411788,0.2823576,False,explore,epsilon_sample(0.2824),1.0,0.2025961922513646,13,28,0,0,disabled,1,13,19,13,19,16324,live,,0,False,1,and approaches are commonly counseling different disorders health interventions manage mental of or the them therapeutic to types used what,none,0,,0.15625,0,0,agea_dynamic,0.014898255813953487,0.014898255813953487,False,4
BONE MARROW BIOPSY,True,True,10,True,True,,99,1,False,topology_pl_fewa,globally_unpulled_topology_prior,BONE MARROW BIOPSY,24,37,0.819672131147541,12.823232323232324,15.355907560453021,4.0606060606060606,0.2767842358006293,0.31830350198457513,0.5343013468013468,0.6398294816855425,0.10974610974610974,22,28,20.420353982300885,21.12103531991542,0.15771453106430616,6.084070796460177,0.43449876686493544,0.4459853461700917,16.883838383838384,fewa(0.2767),0.032976246843434344,0.3025122121423587,1.0,0.04005252790544977,0.03963065682561381,0.03884460904952866,0.035136595640897474,122,136,0.210991252004703,0.8662420382165605,0.11544991511035653,0.3201643148560406,0.3356718303152152,0.2179239744541034,0.3025122121423587,0.1551778789611356,0.2586584047990444,0.21120201689426266,122,157,0.3005399346026274,136,0.3005399346026274,8,14,27,4,1.0,0.039078855547801813,True,True,True,True,exploit,99,0.13835522399999997,0.27671044799999994,False,exploit,fewa(0.2767),1.0,0.1970796320435454,24,37,0,0,disabled,1,24,28,24,28,22067,live,True,0,True,1,a biopsy bone conditions diagnose diseases evaluate is marrow or to used what,none,0,,0.16666666666666666,0,0,fixed_anchor_dynamic,0.032976246843434344,0.032976246843434344,False,5
LUMBAR PUNCTURE,True,True,6,True,True,,113,1,False,topology_pl_fewa,globally_unpulled_topology_prior,LUMBAR PUNCTURE,68,62,0.6615384615384615,39.01769911504426,40.89288511238154,4.575221238938053,0.3353301565690947,0.34975466424092,0.573789692868298,0.6013659575350226,0.07379389095061377,51,35,47.7027027027027,49.38774881300221,0.15006485382591567,15.398648648648646,0.4853950103950104,0.49835690355116047,43.592920353982315,fewa(0.2712),0.08514242256637171,0.3614794138171668,1.0,0.05679579776756402,0.05648463121015204,0.055799159956523486,0.04892910929657159,173,171,0.25564414441515904,0.890625,0.14516129032258066,0.3829931446660186,0.4018024205183662,0.2645942868496535,0.3614794138171668,0.1910728727548499,0.31114213123427903,0.2596063497413575,173,192,0.41391405917374247,171,0.41391405917374247,9,17,33,4,1.0,0.05687369155617585,True,True,True,True,exploit,113,0.13558811952,0.27117623904,False,exploit,fewa(0.2712),1.0,0.21700578298281636,68,62,0,0,disabled,1,68,62,68,62,33613,live,True,0,True,1,a conditions diagnose diseases evaluate is lumbar or puncture to used what,none,0,,0.6666666666666666,0,0,fixed_anchor_dynamic,0.08514242256637171,0.08514242256637171,False,6
UNITED STATES,True,True,0,True,False,,148,2,True,topology_pl_fewa,globally_unpulled_topology_prior,UNITED STATES,4,23,0.6296296296296297,1.9155405405405406,2.134998173849525,0.6216216216216216,0.09396896896896897,0.1020970294618943,0.47888513513513514,0.5337495434623812,0.027027027027027025,4,13,3.3848684210526314,3.583892399584488,0.09706416943259044,1.7730263157894735,0.19103313840155942,0.19840439686570227,2.5371621621621623,fewa(0.2658),0.0,0.37107466852756454,1.0,0.058108995403808275,0.05777235997116851,0.057103086172369054,0.050372562709749436,177,184,0.26609791368941255,0.8975609756097561,0.15619694397283532,0.39203710007003995,0.41044334845702396,0.2755374570027695,0.37107466852756454,0.20203459522871384,0.3216828999867545,0.2671872295222521,177,205,0.43400027456557205,184,0.43400027456557205,9,17,34,4,1.0,0.058269364968597345,True,True,True,True,exploit,148,0.13287635712959997,0.26575271425919994,False,exploit,fewa(0.2658),1.0,0.24067065770007204,4,23,0,0,disabled,1,4,23,4,23,15575,live,True,0,True,1,and are breast by cancer cervical colorectal for force guidelines issued preventive recommendations screening services specific states task the united uspstf what,none,0,,0.11428571428571428,0,0,fixed_anchor_dynamic,0.004955394847972973,0.004955394847972973,True,7
ANAL CANCER,True,True,53,True,True,,152,2,False,topology_pl_fewa,globally_unpulled_topology_prior,ANAL CANCER,76,66,0.8661971830985915,33.105263157894775,44.46645602493071,15.901315789473681,0.34511675315048207,0.42512515362256614,0.4355955678670365,0.5850849476964567,0.2409290271132376,72,51,69.16666666666673,70.92967248173774,0.2914822526490213,21.23039215686275,0.6365990057995033,0.6490145397084541,49.00657894736845,fewa(0.2604),0.09571597450657901,0.44050942079553385,1.0,0.08174655285620486,0.08196757762397365,0.08202800816418963,0.08889446453056102,249,235,0.323099143605421,0.91796875,0.199490662139219,0.46503210917832377,0.48670827002986927,0.33505619783474966,0.44050942079553385,0.24974819365981177,0.38659567696136,0.32162292175944734,249,256,0.4251599830592515,235,0.4251599830592515,10,20,39,5,1.0,0.08304256803907886,True,True,True,True,exploit,152,0.13021882998700798,0.26043765997401597,False,exploit,fewa(0.2604),1.0,0.20877838080779515,76,66,0,0,disabled,1,76,20,76,20,20080,live,True,0,True,1,agents anal and are associated cancer conditions development directly established etiologic factors of precursor risk the what with,none,0,,0.15151515151515152,0,0,fixed_anchor_dynamic,0.09571597450657901,0.09571597450657901,False,8
PHYSICAL EXAM,True,True,26,True,True,,204,2,False,topology_pl_fewa,globally_unpulled_topology_prior,PHYSICAL EXAM,58,54,0.7946428571428571,18.330882352941185,25.01708477508652,6.742647058823532,0.22387079831932782,0.2835690342313398,0.31604969574036523,0.4313290478463193,0.124863834422658,55,34,51.40416666666668,53.20826822916665,0.36524750525210087,14.577083333333338,0.5891183035714287,0.605226353236607,25.073529411764717,fewa(0.2552),0.04897173713235296,0.4884856943475227,1.0,0.09980302035456336,0.09997207251826974,0.10003192665781294,0.1018438898320069,304,269,0.36763990728619433,0.9275862068965517,0.22835314091680814,0.5124198576320447,0.5331669323000994,0.3699759896330515,0.4884856943475227,0.28814866053839067,0.42787693888027817,0.35570393493132985,304,290,0.4420242765210861,269,0.4420242765210861,10,20,42,5,1.0,0.10118632240055828,True,True,True,True,exploit,204,0.12761445338726782,0.25522890677453564,False,exploit,fewa(0.2552),1.0,0.2474493252234164,58,54,0,0,disabled,1,58,16,58,16,21385,live,True,0,True,1,a and are clinical components direct during each exam for indications maneuvers of or performed performing physical routinely specific techniques the these what,none,0,,0.16216216216216217,0,0,fixed_anchor_dynamic,0.04897173713235296,0.04897173713235296,False,9
CARE TEAM,True,True,28,True,True,,240,3,True,topology_pl_fewa,globally_unpulled_topology_prior,CARE TEAM,31,50,0.691358024691358,27.77708333333335,29.17828559027778,1.7604166666666665,0.3646604938271607,0.381959287122771,0.8960349462365598,0.9412350190412188,0.03520833333333333,30,26,29.211934156378614,29.786948127826044,0.015972539755118587,1.619341563786008,0.3806330335822793,0.3877319715013834,29.53750000000002,fewa(0.2501),0.05769042968750004,0.4994766224703419,1.0,0.10965200262639527,0.11016609729287713,0.11061778082868286,0.12213182718255554,334,282,0.3789924448727615,0.8924050632911392,0.23938879456706283,0.5231298443727318,0.5435866988543313,0.3806252094193429,0.4994766224703419,0.29959325869990794,0.43846150492099145,0.3689314147259482,334,316,0.47628661008625806,282,0.47628661008625806,10,20,43,5,1.0,0.10886252616887648,True,True,True,True,exploit,240,0.12506216431952247,0.25012432863904493,False,exploit,fewa(0.2501),1.0,0.2550141825617006,31,50,0,0,disabled,1,31,33,31,33,41703,live,True,0,True,1,a and another care communication constitute coordinate disciplines do how manage members one overall patient plan protocols roles s specific team the these to what with,none,0,,0.13953488372093023,0,0,fixed_anchor_dynamic,0.05769042968750004,0.05769042968750004,False,10
