"turn","mode","anchor","batch_htsn_combined","batch_new_nodes","batch_new_edges","raw_batch_reward","effective_fewa_reward","evaluation_node_precision","evaluation_node_recall","evaluation_edge_pair_precision","evaluation_edge_pair_recall","evaluation_node_tsc_rank","evaluation_edge_tsc_rank"
1,"explore",,0.0,59,33,0.0,,0.8135593220338984,0.04074702886247878,1.0,0.010833880499015102,0.06119930916189941,0.010820878324943163
2,"exploit","DIAGNOSTIC TESTS",0.1375921375921376,21,13,0.011824324324324325,0.011824324324324325,0.8625,0.05857385398981324,1.0,0.015101772816808929,0.09162492112536669,0.01513006145118562
3,"explore",,0.11394176931690932,24,10,0.008456615691489363,,0.8846153846153846,0.07809847198641766,1.0,0.018384766907419567,0.11771650161007896,0.01861757571669393
4,"explore",,0.3347371967654987,16,20,0.034650530133928575,,0.9,0.09168081494057725,1.0,0.02495075508864084,0.13309298171293438,0.0256582278751466
5,"explore",,0.43591761773579946,33,68,0.10301959325396823,,0.9215686274509803,0.11969439728353141,1.0,0.04727511490479317,0.17139939151738448,0.04847083212896168
6,"exploit","MEDICAL HISTORY AND PHYSICAL EXAM (H&P)",0.26910245372363323,19,29,0.04835434715346535,0.04835434715346535,0.9302325581395349,0.13582342954159593,1.0,0.05679579776756402,0.19402345057633968,0.05802792147995619
7,"explore",,0.15593220338983046,31,35,0.03806938559322033,,0.9408866995073891,0.16213921901528014,1.0,0.06828627708470125,0.22070085110542917,0.06939774907905624
8,"exploit","TUMOR STAGING",0.13505116959064326,19,8,0.009495785361842105,0.009495785361842105,0.9414414414414415,0.1774193548387097,1.0,0.07091267235718976,0.24372928152244985,0.07208480770293184
9,"exploit","SURGERY",0.2575549450549451,19,18,0.02817007211538462,0.02817007211538462,0.941908713692946,0.1926994906621392,1.0,0.07682206172028891,0.2571342661030145,0.07843396996391304
10,"exploit","NASOPHARYNGEAL CANCER",0.3095512082853854,17,29,0.039903085443037965,0.039903085443037965,0.9457364341085271,0.2071307300509338,1.0,0.08634274458305975,0.27578793166272075,0.08798724398773106
11,"explore",,0.3322727272727274,15,38,0.05710937500000002,,0.945054945054945,0.21901528013582344,1.0,0.09881812212738017,0.29236863855717826,0.1007034242408795
12,"exploit","DIABETES",0.17768083309878974,14,23,0.032968123328877004,0.032968123328877004,0.9477351916376306,0.23089983022071306,1.0,0.10636900853578464,0.30536258631773117,0.10815704741291805
13,"explore",,0.1535583860336688,33,33,0.032691140776699025,,0.915625,0.24872665534804753,1.0,0.11720288903479974,0.3216877838375867,0.11829620307796161
14,"explore",,0.13119755911517925,6,9,0.01768092105263158,,0.9171779141104295,0.2538200339558574,1.0,0.12015758371634931,0.32801330722447086,0.12131168506519155
15,"exploit","MEDICAL TEAM",0.43380926724137925,11,37,0.06778269800646551,0.06778269800646551,0.9198813056379822,0.2631578947368421,1.0,0.13230466185160866,0.3382010955056999,0.13433461762333182
16,"explore",,0.2700084627939309,25,53,0.07488515960300428,,0.925414364640884,0.2843803056027165,1.0,0.14970453053184504,0.36046447901268064,0.1517744781471793
