turn,mode,anchor,batch_htsn_combined,batch_new_nodes,batch_new_edges,raw_batch_reward,effective_fewa_reward,evaluation_node_precision,evaluation_node_recall,evaluation_edge_pair_precision,evaluation_edge_pair_recall,evaluation_node_tsc_rank,evaluation_edge_tsc_rank
1,explore,,0.0,49,34,0.0,,1.0,0.04159592529711375,1.0,0.011162179908076166,0.06287974617920888,0.011167157419483601
2,exploit,DIAGNOSTIC TESTS,0.0,0,0,0.0,0.0,1.0,0.04159592529711375,1.0,0.011162179908076166,0.06287974617920888,0.011167157419483601
3,explore,,0.3174692049272118,39,45,0.058285361842105296,,1.0,0.07470288624787776,1.0,0.025935653315824033,0.11218416819478516,0.02596330143618067
4,explore,,0.2029569892473119,38,39,0.036865234375000014,,1.0,0.10696095076400679,1.0,0.038739330269205514,0.1549349599035428,0.03874022169797923
5,explore,,0.30524710189139714,44,61,0.08883167613636363,,1.0,0.14431239388794567,1.0,0.0587655942219304,0.20426530316002078,0.05891658748590986
6,explore,,0.17331545424069728,18,10,0.012863256369426751,,0.9946808510638298,0.15874363327674024,1.0,0.062048588312541036,0.220206866314532,0.06245904246275998
7,exploit,MAMMOGRAM,0.43039725108950727,18,39,0.06388709195859874,0.06388709195859874,0.9951456310679612,0.17402376910016978,1.0,0.07485226526592252,0.23797772846981652,0.07524069373025744
8,exploit,TUMOR STAGING,0.404626762985896,17,30,0.053739491959064314,0.053739491959064314,0.9910313901345291,0.18760611205432937,1.0,0.08470124753775443,0.25748161073109666,0.08559137113396699
9,exploit,NCCN CANCER CENTERS,0.0,37,0,0.0,0.0,0.85,0.18760611205432937,1.0,0.08470124753775443,0.25748161073109666,0.08559137113396699
10,explore,,0.08563535911602209,17,16,0.013715037983425413,,0.8592057761732852,0.20203735144312393,1.0,0.08995403808273145,0.27537171059452864,0.09029093853691036
11,exploit,SURGERY,0.11240786240786241,9,5,0.008123224431818182,0.008123224431818182,0.8636363636363636,0.20967741935483872,1.0,0.09159553512803677,0.2812595353136164,0.09189963308761592
12,explore,,0.32628048780487795,23,29,0.052255859374999984,,0.8737864077669902,0.22920203735144312,1.0,0.10111621799080761,0.2992177710102756,0.1017827039925718
13,explore,,0.17653522947640593,12,7,0.012067837952488687,,0.8785046728971962,0.23938879456706283,1.0,0.10341431385423507,0.3077799271835302,0.10410425427293729
14,exploit,COMPLETE BLOOD COUNT AND DIFFERENTIAL,0.2312541630982967,25,27,0.042005150719026545,0.042005150719026545,0.8872832369942196,0.2606112054329372,1.0,0.11227839789888379,0.3270712552694168,0.11340129092358056
15,explore,,0.0,4,3,0.0,,0.8885714285714286,0.2640067911714771,1.0,0.11326329612606698,0.332392515723083,0.11431452763655106
16,explore,,0.08125632901055106,16,21,0.019203155879446637,,0.8934426229508197,0.2775891341256367,1.0,0.12015758371634931,0.3478156540595614,0.12109955287417722
17,exploit,TREATMENT,0.0,4,0,0.0,0.0,0.8891891891891892,0.27928692699490665,1.0,0.12015758371634931,0.350097463865789,0.12109955287417722
18,explore,,0.0,9,0,0.0,,0.8918205804749341,0.2869269949066214,1.0,0.12015758371634931,0.357459096281856,0.12109955287417722
19,explore,,0.14029882154882156,8,16,0.024113859953703704,,0.8940568475452196,0.2937181663837012,1.0,0.12541037426132634,0.36472667162379413,0.12607596041704855
20,explore,,0.0,1,0,0.0,,0.8943298969072165,0.29456706281833617,1.0,0.12541037426132634,0.3649769967502157,0.12607596041704855
21,explore,,0.19218885181065382,17,30,0.043542786738351255,,0.8987654320987655,0.3089983022071307,1.0,0.13525935653315824,0.38261603088034335,0.13613560466373362
22,explore,,0.1918953788411916,15,33,0.054345370960884334,,0.9023809523809524,0.32173174872665533,1.0,0.14609323703217333,0.39226613856458403,0.14726308268058147
23,exploit,BREAST CANCER,0.401266537394762,27,55,0.10266780546623792,0.10266780546623792,0.9082774049217002,0.34465195246179964,1.0,0.16414970453053185,0.4152345798240896,0.1651024842663534
24,exploit,MEDICAL TEAM,0.32606304985337253,5,21,0.04075788123167157,0.0,0.9092920353982301,0.34889643463497455,1.0,0.17104399212081417,0.4195086221453293,0.17251352838710207
25,exploit,MAMMOGRAM SCREENING,0.09790407391026586,7,17,0.02275504842836257,0.02275504842836257,0.9106753812636166,0.3548387096774194,1.0,0.17662508207485225,0.4265591996705766,0.17806116671484107
26,exploit,HEPATITIS B AND HEPATITIS C SCREENING,0.10276760276760277,5,5,0.007025129095441595,0.007025129095441595,0.9008620689655172,0.3548387096774194,1.0,0.1782665791201576,0.4265591996705766,0.17964574839779107
27,explore,,0.08708039142821751,4,10,0.015647257834757834,,0.9017094017094017,0.35823429541595925,1.0,0.18154957321076823,0.43116577448224025,0.18287382041529632
28,exploit,SPINE MRI,0.3167633250483293,21,37,0.06310519366197186,0.06310519366197186,0.9059304703476483,0.3760611205432937,1.0,0.19369665134602757,0.45459709504356083,0.1951635997031975
29,exploit,SURGICAL STAGING,0.2509912959381045,10,16,0.026961955618351068,0.026961955618351068,0.9078156312625251,0.3845500848896435,1.0,0.1989494418910046,0.4659550421997784,0.20057266534788545
30,exploit,CARDIOLOGIST,0.2300377042312526,12,25,0.04178419237012987,0.04178419237012987,0.9099804305283757,0.39473684210526316,1.0,0.2071569271175312,0.47602211155909424,0.20891251271648487
31,explore,,0.10130698775342187,2,14,0.024337420886075958,,0.9103313840155945,0.39643463497453313,1.0,0.21175311884438608,0.4775492429516425,0.21370273229314218
