anchor,anchor_diagnostics_anchor_in_candidate_nodes,anchor_diagnostics_anchor_in_response_text,anchor_diagnostics_anchor_incident_candidate_edges,anchor_diagnostics_anchor_required,anchor_diagnostics_anchor_response_adherent,arm_decision_admission,arm_decision_eligible_arm_count,arm_decision_epoch_id,arm_decision_epoch_refreshed,arm_decision_policy,arm_decision_reason,arm_decision_selected_arm,batch_candidate_edges,batch_candidate_nodes,batch_count_novelty,batch_historical_edge_mass,batch_historical_edge_mass_noisy_or,batch_historical_node_mass,batch_htsn_combined,batch_htsn_combined_noisy_or,batch_htsn_edge,batch_htsn_edge_noisy_or,batch_htsn_node,batch_new_edges,batch_new_nodes,batch_retrospective_edge_mass,batch_retrospective_edge_mass_noisy_or,batch_retrospective_gain,batch_retrospective_node_mass,batch_rtsn_combined,batch_rtsn_combined_noisy_or,batch_y_ha,decision_reason,effective_fewa_reward,evaluation_degree_weighted_node_coverage,evaluation_edge_pair_precision,evaluation_edge_pair_recall,evaluation_edge_tsc_noisy_or_rank,evaluation_edge_tsc_rank,evaluation_edge_tsc_raw,evaluation_matched_directed_edge_pairs,evaluation_matched_nodes,evaluation_node_autc_rank,evaluation_node_precision,evaluation_node_recall,evaluation_node_tsc_burt_balanced,evaluation_node_tsc_burt_effective,evaluation_node_tsc_collision_diversity,evaluation_node_tsc_degree,evaluation_node_tsc_rank,evaluation_node_tsc_raw,evaluation_pagerank_weighted_node_coverage,evaluation_recovered_edge_pairs,evaluation_recovered_nodes,evaluation_spearman_bnrr_online_vs_truth,evaluation_spearman_matched_nodes,evaluation_spearman_sensitivity_online_vs_truth,evaluation_top10_sensitive_nodes_recovered,evaluation_top20_sensitive_nodes_recovered,evaluation_top50_sensitive_nodes_recovered,evaluation_top5_sensitive_nodes_recovered,evaluation_undirected_edge_pair_precision,evaluation_undirected_edge_pair_recall,gain_graph,gain_meaningful,gain_relation,gain_sensitive,mode,mode_decision_available_arm_count,mode_decision_effective_htsn_threshold,mode_decision_epsilon,mode_decision_explore_suppressed,mode_decision_mode,mode_decision_reason,mode_decision_recent_explore_success_rate,mode_decision_recent_htsn,parser_candidate_edges,parser_candidate_nodes_with_endpoints,parser_citation_rejected_compact_edges,parser_compact_format_edges,parser_graph_filter_status,parser_graphrag_query_attempts,parser_kept_edges,parser_kept_nodes_explicit,parser_raw_edges,parser_raw_nodes,parser_response_characters,parser_source,query_generation_anchor_present,query_generation_anchor_rejected_queries,query_generation_anchor_required,query_generation_attempts,query_generation_domain_query_signature,query_generation_fallback_reason,query_generation_generation_error_attempts,query_generation_last_generation_error,query_generation_max_similarity,query_generation_rejected_similar_queries,query_generation_similarity_rejected_queries,query_generation_source,raw_batch_reward,reward,reward_attribution_warning,turn
,,,0,False,,,0,,,topology_pl_fewa,mode_explore,,11,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,19,8.13888888888889,9.331018518518519,0.5712962962962963,9.0,0.5712962962962963,0.6110339506172839,0.0,seed_turn,,0.0056740569507197644,1.0,0.0003762484608017513,0.0003465985205671117,0.00034132065213265706,0.00022992244222459554,11,18,0.002135015611733381,0.9473684210526315,0.0010488899248295553,0.006530659860474392,0.007242437994541525,0.00404973930553582,0.0056740569507197644,0.0016354008250880913,0.00489807736065723,0.002363790519403741,11,19,0.0265220734786245,18,0.0265220734786245,1,1,1,1,1.0,0.00038524848527300107,True,True,True,False,explore,0,0.15,0.3,False,explore,seed_turn,,,11,19,0,0,disabled,1,11,8,11,8,6841,live,,0,False,1,and characters concrete corpus events explain identify important in locations novel objects organizations principal relationships the their,none,0,,0.0,0,0,seed,0.0,0.0,False,1
MEN,True,True,2,True,True,,18,1,True,topology_pl_fewa,globally_unpulled_topology_prior,MEN,2,4,0.3333333333333333,1.9444444444444444,1.9675925925925926,0,0.32407407407407407,0.3279320987654321,0.9722222222222222,0.9837962962962963,0.0,2,0,1.9444444444444444,1.9675925925925926,0.0,0,0.32407407407407407,0.3279320987654321,1.9444444444444444,fewa(0.2940),0.0037977430555555555,0.0056740569507197644,0.8461538461538461,0.0003762484608017513,0.0003465985205671117,0.00034132065213265706,0.00022992244222459554,11,18,0.002135015611733381,0.9473684210526315,0.0010488899248295553,0.006530659860474392,0.007242437994541525,0.00404973930553582,0.0056740569507197644,0.0016354008250880913,0.00489807736065723,0.002363790519403741,13,19,0.0265220734786245,18,0.0265220734786245,1,1,1,1,1.0,0.00038524848527300107,True,True,True,True,exploit,18,0.147,0.294,False,exploit,fewa(0.2940),,,2,4,0,0,disabled,1,2,4,2,4,2096,live,True,0,True,1,and any body characters connect connection corpus direct events excluding important in locations men novel objects organizations principal relationships the to what,none,0,,0.5,0,0,fixed_anchor_dynamic,0.0037977430555555555,0.0037977430555555555,False,2
,,,0,False,,,18,,,topology_pl_fewa,mode_explore,,61,71,0.9924242424242424,8.75,9.236111111111112,0.8333333333333334,0.07260101010101011,0.07628367003367005,0.14344262295081966,0.15141165755919855,0.011737089201877935,61,70,58.762195121951216,59.82703747769185,0.6112958856861295,31.51219512195122,0.6838968957871396,0.6919638833306293,9.583333333333334,epsilon_sample(0.2881),,0.02802003432454205,0.972972972972973,0.002462717197975099,0.0024645190551930763,0.002466841910635286,0.0015919941570639235,72,88,0.012684623332295803,0.9887640449438202,0.0051279062991667155,0.030383698029393322,0.031961213299130736,0.016414036970300323,0.02802003432454205,0.009888146789793344,0.021877676896933144,0.010372834592918163,74,89,0.12015722405801955,88,0.12015722405801955,2,2,2,2,1.0,0.0024866038594893707,True,True,True,True,explore,18,0.14406,0.28812,False,explore,epsilon_sample(0.2881),,0.32407407407407407,61,71,0,0,disabled,1,61,70,61,70,38605,live,,0,False,1,and are at conflicts each events key locations occur of or places settings significant story the these unfolds what where,none,0,,0.13513513513513514,0,0,agea_dynamic,0.018717447916666668,0.018717447916666668,False,3
,,,0,False,,,82,,,topology_pl_fewa,mode_explore,,56,55,0.9369369369369369,19.48780487804878,23.06781677572873,7.213414634146341,0.240551527136893,0.27280388657545107,0.3479965156794425,0.41192529956658447,0.13115299334811528,55,49,51.969465648854964,53.4037060777344,0.45640879196083073,25.393129770992367,0.6969603190977237,0.7098814040425835,26.701219512195124,epsilon_sample(0.2824),,0.046845994886343736,0.875968992248062,0.0038650978245998086,0.003903295772849463,0.003941267161499575,0.00513985722852984,113,131,0.02027595010825486,0.9492753623188406,0.007633587786259542,0.05064077465330403,0.053117443636074346,0.025114806099662112,0.046845994886343736,0.015337451226220274,0.035022370154718985,0.015770464006940058,129,138,0.1765975679565199,131,0.1765975679565199,2,3,4,2,0.9083333333333333,0.003817462263159738,True,True,True,True,explore,82,0.1411788,0.2823576,False,explore,epsilon_sample(0.2824),1.0,0.1983375420875421,56,55,0,0,disabled,1,56,45,56,45,23282,live,,0,False,1,and are causes events in key leads or points story the these to turning what,none,0,,0.34615384615384615,0,0,agea_dynamic,0.0521508193597561,0.0521508193597561,False,4
,,,0,False,,,131,,,topology_pl_fewa,mode_explore,,80,81,0.8509316770186336,35.900763358778626,36.55011362974186,2.133587786259542,0.23623820586980226,0.2402714373664683,0.44875954198473283,0.45687642037177323,0.026340589953821505,70,67,67.00252525252526,68.28981736557493,0.3645836775607768,29.72979797979798,0.6008218834305791,0.608817486617223,38.034351145038165,epsilon_sample(0.2767),,0.07481349164652727,0.9195979899497487,0.006259406211520044,0.006337016653170663,0.006398670187036663,0.006993170996481397,183,198,0.03152308047285099,0.9658536585365853,0.01153778917312511,0.08133895255884085,0.08595703073916276,0.04268971424708616,0.07481349164652727,0.023442248578524005,0.05789412198384326,0.02910926071074253,199,205,0.2140652470448208,198,0.2140652470448208,3,4,11,3,0.9421052631578948,0.006269043533078836,True,True,True,True,explore,131,0.13835522399999997,0.27671044799999994,False,explore,epsilon_sample(0.2767),1.0,0.21240887043732573,80,81,0,0,disabled,1,80,12,80,12,19096,live,,0,False,1,and are belief by communities cultural customs do emphasize in or practiced rituals story systems the they this traditions values what,none,0,,0.2413793103448276,0,0,agea_dynamic,0.07428584208015267,0.07428584208015267,False,5
CLARISSA,True,True,2,True,True,,198,1,False,topology_pl_fewa,globally_unpulled_topology_prior,CLARISSA,2,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,fewa(0.2712),0.0,0.07481349164652727,0.9195979899497487,0.006259406211520044,0.006337016653170663,0.006398670187036663,0.006993170996481397,183,198,0.03152308047285099,0.9658536585365853,0.01153778917312511,0.08133895255884085,0.08595703073916276,0.04268971424708616,0.07481349164652727,0.023442248578524005,0.05789412198384326,0.02910926071074253,199,205,0.2140652470448208,198,0.2140652470448208,3,4,11,3,0.9421052631578948,0.006269043533078836,False,False,False,False,exploit,198,0.13558811952,0.27117623904,False,exploit,fewa(0.2712),1.0,0.21836620429544487,2,3,0,0,disabled,1,2,1,2,1,1991,live,True,0,True,1,actions and beyond characters clarissa connection define direct does groups have her in interactions or other p relationships specific story the those to troleuse what with,none,0,,0.23076923076923078,0,0,fixed_anchor_dynamic,0.0,0.0,False,6
THE SMALL BOY,True,True,1,True,True,,198,1,False,topology_pl_fewa,globally_unpulled_topology_prior,THE SMALL BOY,1,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,fewa(0.2658),0.0,0.07481349164652727,0.9195979899497487,0.006259406211520044,0.006337016653170663,0.006398670187036663,0.006993170996481397,183,198,0.03152308047285099,0.9658536585365853,0.01153778917312511,0.08133895255884085,0.08595703073916276,0.04268971424708616,0.07481349164652727,0.023442248578524005,0.05789412198384326,0.02910926071074253,199,205,0.2140652470448208,198,0.2140652470448208,3,4,11,3,0.9421052631578948,0.006269043533078836,False,False,False,False,exploit,198,0.13287635712959997,0.26575271425919994,False,exploit,fewa(0.2658),1.0,0.1746929634363559,1,2,0,0,disabled,1,1,1,1,1,814,live,True,0,True,1,actions and boy characters connections define direct does groups have in interactions objects or other relationships small specific story the these what with,none,0,,0.5806451612903226,0,0,fixed_anchor_dynamic,0.0,0.0,False,7
,,,0,False,,,198,,,topology_pl_fewa,mode_explore,,63,70,0.9624060150375939,15.84090909090909,16.33217273747577,1.9848484848484849,0.13402825244930508,0.13772196407762596,0.2514430014430014,0.25924083710279,0.028354978354978355,63,65,60.23473282442748,61.75049166715226,0.5602264683220891,32.101145038167935,0.6942547207713942,0.7056514037994001,17.825757575757574,recent_htsn_below_threshold(0.1302),,0.09553080452523555,0.9389312977099237,0.008414283759748255,0.0085046739531979,0.008560180586406145,0.008516687529201697,246,263,0.040854526102113674,0.9740740740740741,0.015325447235009615,0.1017709584704888,0.10636466551008061,0.05278972683781462,0.09553080452523555,0.031135338720680656,0.07244404187986583,0.04256369220948623,262,270,0.19349275818535056,263,0.19349275818535056,4,5,13,3,0.9565217391304348,0.008475466676006025,True,True,True,True,explore,198,0.13021882998700798,0.26043765997401597,False,explore,recent_htsn_below_threshold(0.1302),1.0,0.10987814862154108,63,70,0,0,disabled,1,63,13,63,13,19856,live,,0,False,1,are between by characters forms in locations modes movement navigate of or routes story the to transportation travel used various what,none,0,,0.2413793103448276,0,0,agea_dynamic,0.03481593276515151,0.03481593276515151,False,8
,,,0,False,,,262,,,topology_pl_fewa,mode_explore,,40,50,0.8444444444444444,32.780534351145036,34.599415098187755,2.4580152671755724,0.39153944020356235,0.41174922628181476,0.8195133587786259,0.8649853774546938,0.04916030534351145,39,37,38.47610921501707,38.765451548649374,0.1727381479648108,12.30887372013652,0.5642775881683731,0.5674925029865099,35.23854961832061,recent_htsn_below_threshold(0.1276),,0.10500507863122133,0.946843853820598,0.009748255575318101,0.009871829975007716,0.009949201776763165,0.009713619698703485,285,300,0.045812251666912496,0.9771986970684039,0.017481498747159256,0.1109521067532795,0.1153923800345216,0.05808309410972927,0.10500507863122133,0.03540365679795868,0.0795995751723578,0.04586390177117835,301,307,0.23658651197714356,300,0.23658651197714356,5,6,14,3,0.9623287671232876,0.009841347669246664,True,True,True,True,explore,262,0.12761445338726782,0.25522890677453564,False,explore,recent_htsn_below_threshold(0.1276),1.0,0.12216359709120006,40,50,0,0,disabled,1,40,11,40,11,25678,live,,0,False,1,activities and are classes depicted do each economic how in interact novel occupations other social the they various what with,none,0,,0.20588235294117646,0,0,agea_dynamic,0.06882529222328244,0.06882529222328244,False,9
THE COACH,True,True,31,True,True,,293,2,True,topology_pl_fewa,globally_unpulled_topology_prior,THE COACH,51,55,0.3018867924528302,6.662116040955631,7.2191871774860505,1.6655290102389078,0.07856268916221262,0.08381807724268829,0.13062972629324768,0.14155268975462845,0.030282345640707413,14,18,11.82084690553746,12.853818077645386,0.10569150541710026,7.710097719869707,0.18425419457931289,0.19399920563693485,8.327645051194539,fewa(0.2501),0.016264931740614334,0.1073867815488074,0.9492063492063492,0.010227117252702148,0.01034719146096121,0.010427249177650345,0.009958008415163594,299,318,0.0476834680859802,0.9784615384615385,0.01853038867198881,0.1135112618965411,0.11805493829235464,0.06008428226520974,0.1073867815488074,0.03707960117457082,0.0818839655554358,0.047815215758078844,315,325,0.23840008930800377,318,0.23840008930800377,5,6,14,3,0.9640522875816994,0.010331663923230483,True,True,True,True,exploit,293,0.12506216431952247,0.25012432863904493,False,exploit,fewa(0.2501),1.0,0.15236117970453394,51,55,0,0,disabled,1,51,15,51,15,17753,live,True,0,True,1,beyond carry characters coach connections directly does during interact its journey known locations objects or pass the through what with,none,0,,0.22857142857142856,0,0,fixed_anchor_dynamic,0.016264931740614334,0.016264931740614334,False,10
